timestamp_sec,timestamp_nsec,sample_count,q_w,q_x,q_y,q_z,q_norm,dot_prev,angular_diff_rad,angular_diff_deg,roll_rad,pitch_rad,yaw_rad,yaw_deg,yaw_diff_rad,yaw_diff_deg,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,snap_detected,snap_magnitude_rad
327,410000000,739,0.9857097864151001,0.1680271178483963,0.011962794698774815,6.097062578191981e-05,1.0000000037706815,1.0000000287477098,0.0,0.0,0.3377291776625836,0.02356537919957642,0.00414150824293552,0.23729094313884655,2.7310898185334276e-08,1.5647992007311528e-06,0.0625,-0.125,0.0625,0.01,0.04,-0.03,0,0.0
327,843000000,740,0.9857097864151001,0.16802732646465302,0.011962794698774815,6.0980233683949336e-05,1.000000038824477,1.0000000425951374,0.0,0.0,0.33772961249640704,0.023565375944453522,0.004141532181859651,0.23729231473816534,2.3938924131189365e-08,1.3715993188010316e-06,-0.0625,0.0625,-0.0625,0.0,0.02,-0.06,0,0.0
328,233000000,741,0.9857082366943359,0.16803638637065887,0.011962776072323322,6.0988302720943466e-05,1.0000000333812473,1.0000000721634836,0.0,0.0,0.3377479956925458,0.023565298307687697,0.004141758461238223,0.23730527959154832,2.262793785713646e-07,1.2964853382982191e-05,-0.0625,0.125,0.0,0.0,0.03,-0.05,0,0.0
328,605000000,742,0.9857069253921509,0.1680440753698349,0.011962760239839554,6.0995160310994834e-05,1.0000000326929572,1.0000000660437856,0.0,0.0,0.33776359850822985,0.02356523246076605,0.004141950511423104,0.2373162832565967,1.9205018488097775e-07,1.1003665048387198e-05,-0.0625,-0.1875,0.125,0.0,0.03,-0.06,0,0.0
328,958000000,743,0.9857073426246643,0.16804172098636627,0.011962764896452427,6.100108294049278e-05,1.0000000483806673,1.0000000810707677,0.0,0.0,0.33775882605854995,0.02356524992494927,0.004141907462786517,0.2373138167514065,-4.3048636586863476e-08,-2.4665051902197386e-06,-0.125,0.0625,-0.125,0.0,0.03,-0.05,0,0.0
329,423000000,744,0.985707700252533,0.1680397242307663,0.011962768621742725,6.1006117903161794e-05,1.0000000654057644,1.0000001137843777,0.0,0.0,0.3377547797340332,0.02356526438095487,0.00414187090188464,0.23731172196603373,-3.656090187716121e-08,-2.0947853727532665e-06,-0.1875,0.0625,0.0625,0.0,0.03,-0.02,0,0.0
329,777000000,745,0.9857079982757568,0.1680380254983902,0.011962772347033024,6.1010396166238934e-05,1.0000000737613435,1.0000001391656255,0.0,0.0,0.33775133537419366,0.023565277628540042,0.00414183997380025,0.2373099499173298,-3.0928084389543475e-08,-1.7720487039452863e-06,0.125,-0.1875,0.0,0.0,0.04,-0.05,0,0.0
330,139000000,746,0.9857082366943359,0.1680365800857544,0.011962775141000748,6.1014034145046026e-05,1.0000000659228776,1.000000139683153,0.0,0.0,0.33774839983323757,0.02356528779747516,0.0041418135249973185,0.23730843451254863,-2.6448802931643145e-08,-1.515404781156391e-06,0.125,0.0,-0.0625,0.0,0.02,-0.04,0,0.0
330,583000000,747,0.9857084155082703,0.1680353432893753,0.011962777934968472,6.1017126427032053e-05,1.0000000343886064,1.000000100310706,0.0,0.0,0.33774587999499894,0.023565296697941676,0.004141790985423145,0.2373071430900765,-2.253957417323177e-08,-1.2914224721482522e-06,0.5,0.0625,-0.125,0.0,0.02,-0.03,0,0.0
330,935000000,748,0.9857085943222046,0.16803430020809174,0.01196277979761362,6.1019753047730774e-05,1.0000000353954874,1.000000069783535,0.0,0.0,0.33774376370665726,0.023565303894780214,0.004141771850309837,0.23730604672884342,-1.913511330810247e-08,-1.0963612330588864e-06,0.0625,-0.1875,0.0625,0.0,0.02,-0.04,0,0.0
331,287000000,749,0.9857087135314941,0.1680334061384201,0.01196278166025877,6.102198676671833e-05,1.000000002689563,1.0000000380846443,0.0,0.0,0.3377419389469534,0.023565309779047045,0.0041417554992783994,0.23730510988375136,-1.6351031437676633e-08,-9.368450920645979e-07,0.0625,-0.1875,0.0,0.0,0.03,-0.04,0,0.0
331,673000000,750,0.9857088327407837,0.16803264617919922,0.01196278352290392,6.102388579165563e-05,0.9999999925193563,0.9999999952086236,0.00019578307200714392,0.011217543726115237,0.33774039357758157,0.023565315759460533,0.004141741697773853,0.2373043191157899,-1.3801504546856469e-08,-7.907679614654915e-07,0.0625,-0.0625,0.125,0.01,0.03,-0.05,0,0.0
332,33000000,751,0.9857089519500732,0.16803200542926788,0.011962784454226494,6.102550105424598e-05,1.0000000023695517,0.9999999948886956,0.00020221383501827875,0.011585999305702104,0.337739096540381,0.023565319984179846,0.004141729876364598,0.23730364179893174,-1.1821409254264559e-08,-6.773168581662531e-07,-0.1875,-0.125,0.0,0.0,0.01,-0.03,0,0.0
332,391000000,752,0.9857090711593628,0.1680314689874649,0.011962785385549068,6.102687257225625e-05,1.0000000297471991,1.0000000321166003,0.0,0.0,0.33773801680679433,0.023565324278105232,0.0041417200706048585,0.23730307997028371,-9.805759739779651e-09,-5.618286480086744e-07,-0.3125,-0.125,-0.0625,0.0,0.02,-0.02,0,0.0
332,800000000,753,0.9857091307640076,0.1680310070514679,0.011962786316871643,6.102804036345333e-05,1.0000000108915752,1.0000000406386664,0.0,0.0,0.3377370733848404,0.0235653272049501,0.004141711638901469,0.23730259686926541,-8.43170338930832e-09,-4.831010183135184e-07,0.0,0.0625,0.0,-0.01,0.02,-0.05,0,0.0
333,153000000,754,0.9857091903686523,0.16803061962127686,0.011962787248194218,6.102902989368886e-05,1.0000000045554112,1.0000000154469098,0.0,0.0,0.33773628517958687,0.023565330182624005,0.004141704638748926,0.23730219579006873,-7.000152543561178e-09,-4.010791966938236e-07,-0.125,0.1875,-0.125,0.0,0.03,-0.02,0,0.0
333,507000000,755,0.9857092499732971,0.1680302768945694,0.011962788179516792,6.10298739047721e-05,1.0000000057309295,1.0000000102862803,0.0,0.0,0.3377355901034747,0.023565333203758466,0.004141698421483144,0.23730183956697928,-6.217265782065828e-09,-3.5622308942347505e-07,-0.125,-0.0625,0.0,0.0,0.01,-0.03,0,0.0
333,929000000,756,0.9857093095779419,0.1680299937725067,0.011962788179516792,6.10305905865971e-05,1.000000016910786,1.0000000226416739,0.0,0.0,0.33773501918609466,0.023565334423882436,0.004141693066339624,0.23730153273985694,-5.355143519597538e-09,-3.068271223597722e-07,0.0,0.25,0.0625,0.0,0.02,-0.03,0,0.0
